Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
6,4294967295,14214,41,compute_position_kernel,compute_position_kernel,static,AI_VECTOR_CORE,1789485641022604.500	,1.460,0,1,0,YES,"""1;1""",INT32;INT32,ND;ND,"""1;1""",INT64;INT32,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962,1731,0.124,0.129,0.502,0.522,0.003,0.003,0.128,0.133,0.169,0.000
6,4294967295,14215,41,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1789485641025013.208	,1.320,2407.290000,1,0,NO,"""1;""",INT64;DT_BF16,ND;ND,"""1""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.829,1492,0.008,0.009,0.324,0.391,0.092,0.111,0.104,0.126,0.148,0.000
6,4294967295,14216,41,aclnnIndexPutImpl_BroadcastToAiCore_BroadcastTo,BroadcastTo,dynamic,AI_VECTOR_CORE,1789485641025508.738	,8.401,494.180000,48,0,NO,"""1,1,1,1;4""",DT_BF16;INT64,ND;ND,"""48,1,6,5120""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.962,601552,0.164,0.024,0.171,0.025,0.106,0.015,1.553,0.223,0.213,0.000
6,4294967295,14217,41,aclnnIndexPutImpl_IndexPutV2_IndexPutV2,IndexPutV2,dynamic,AI_VECTOR_CORE,1789485641025550.819	,170.924,33.599000,48,0,NO,"""48,161,6,5120;48,1,6,5120;2;2;1""",DT_BF16;DT_BF16;INT64;INT64;INT64,NCHW;ND;ND;ND;ND,"""48,161,6,5120""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.986,1121965,0.897,0.069,0.336,0.026,1.293,0.1,1.322,0.102,0.145,0.000
6,4294967295,14218,41,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1789485641025721.763	,1.220,0.076000,1,0,NO,"""1;""",INT64;DT_BF16,ND;ND,"""1""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,1286,0.008,0.011,0.332,0.464,0.099,0.138,0.123,0.173,0.183,0.000
6,4294967295,14219,41,aclnnIndexPutImpl_TransposeAiCore_Transpose,Transpose,dynamic,AI_VECTOR_CORE,1789485641025913.066	,16052.121,190.030000,48,0,NO,"""48,161,24,128,128;5""",DT_BF16;INT64,NCDHW;ND,"""48,161,24,128,128""",DT_BF16,NCDHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15973.968,1380150847,807.174,0.051,5143.186,0.322,6637.8,0.416,6630.158,0.415,0.0,0.000
6,4294967295,14220,41,aclnnIndexPutImpl_BroadcastToAiCore_BroadcastTo,BroadcastTo,dynamic,AI_VECTOR_CORE,1789485641041965.207	,22.201,0.129000,48,0,NO,"""1,1,1,1,1;5""",DT_BF16;INT64,ND;ND,"""48,1,24,128,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.182,1743753,1.915,0.095,2.354,0.117,0.143,0.007,15.033,0.745,0.053,0.000
6,4294967295,14221,41,aclnnIndexPutImpl_IndexPutV2_IndexPutV2,IndexPutV2,dynamic,AI_VECTOR_CORE,1789485641041987.428	,2024.820,0.049000,48,0,NO,"""48,161,24,128,128;48,1,24,128,128;2;2;1""",DT_BF16;DT_BF16;INT64;INT64;INT64,NCDHW;ND;ND;ND;ND,"""48,161,24,128,128""",DT_BF16,NCDHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.614,3941016,11.31,0.248,1.599,0.035,13.139,0.288,17.095,0.375,0.014,0.000
6,4294967295,14222,41,aclnnIndexPutImpl_TransposeAiCore_Transpose,Transpose,dynamic,AI_VECTOR_CORE,1789485641044012.268	,16087.201,0.000000,48,0,NO,"""48,161,24,128,128;5""",DT_BF16;INT64,NCDHW;ND,"""48,161,24,128,128""",DT_BF16,NCDHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16009.951,1383259799,807.174,0.05,5141.993,0.321,6763.175,0.422,6546.963,0.409,0.0,0.000
6,4294967295,14227,41,aclnnInplaceCopy_ViewCopyAiCore_ViewCopy,ViewCopy,dynamic,AI_VECTOR_CORE,1789485641060102.070	,10.120,2.549000,48,0,NO,"""1219200;2;2;1;3,1;2;2;1""",INT64;INT64;INT64;INT64;INT64;INT64;INT64;INT64,ND;ND;ND;ND;ND;ND;ND;ND,"""1219200""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.426,468779,0.008,0.001,1.053,0.194,0.434,0.08,0.019,0.003,0.32,0.000
