Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,MatMulV2,AI_CORE,2249,191323.834,9.28,85.071,978.2,58.764
6,Transpose,AI_VECTOR_CORE,158,69238.402,14.5,438.218,16087.201,21.266
6,recurrent_gated_delta_rule_20,AI_VECTOR_CORE,288,7025.019,22.341,24.392,26.741,2.158
6,add_gemma_rms_norm_kernel_1,AI_VECTOR_CORE,780,5128.631,4.92,6.575,14.341,1.575
6,IndexPutV2,AI_VECTOR_CORE,85,4651.915,1.94,54.728,2024.821,1.429
6,Slice,AI_VECTOR_CORE,1894,4050.421,1.4,2.139,13.321,1.244
6,move_cache_dynamic_last_kernel_h_block,AI_VECTOR_CORE,12,3214.964,0.92,267.914,542.611,0.987
6,FusedInferAttentionScore,MIX_AIC,131,3066.042,13.321,23.405,33.401,0.942
6,SwiGlu,AI_VECTOR_CORE,467,2525.391,4.44,5.408,6.68,0.776
6,fused_gdn_gating_kernel_without_sigmoid_kernel_5,AI_VECTOR_CORE,288,2391.489,6.92,8.304,10.241,0.735
6,causal_conv1d_4_mix_aiv,MIX_AIV,288,2351.804,7.08,8.166,9.64,0.722
6,solve_tril_16x16_kernel_paral_v3,AI_VECTOR_CORE,48,2278.946,47.141,47.478,50.261,0.7
6,Cast,AI_VECTOR_CORE,1177,2115.26,1.1,1.797,8.981,0.65
6,ConcatD,AI_VECTOR_CORE,371,2054.521,2.38,5.538,19.22,0.631
6,Index,AI_VECTOR_CORE,144,1774.615,5.3,12.324,19.32,0.545
6,ScatterNdUpdate,MIX_AIV,262,1602.033,4.32,6.115,8.08,0.492
6,recompute_w_u_fwd_kernel_npu_kernel,MIX_AIC,48,1527.93,30.761,31.832,35.081,0.469
6,ted_delta_rule_fwd_kernel_h_blockdim64_npu_kernel,MIX_AIC,48,1459.369,26.661,30.404,34.041,0.448
6,_layer_norm_fwd_1pass_kernel_npu_0,AI_VECTOR_CORE,288,1288.228,4.24,4.473,5.06,0.396
6,Fill,AI_VECTOR_CORE,945,1251.928,1.1,1.325,2.1,0.385
6,chunk_scaled_dot_kkt_fwd_trans_kernel,MIX_AIC,48,1218.965,22.961,25.395,28.941,0.374
6,split_qkvgate_gemma_rmsnorm_rope_kernel_1,AI_VECTOR_CORE,102,1151.442,10.92,11.289,12.261,0.354
6,chunk_fwd_kernel_o_npu_kernel,MIX_AIC,48,940.28,17.941,19.589,23.021,0.289
