Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Abs_Tiling,4.29,1,4.29,4.29,4.29,0
host,acl,Add_Tiling,5.29,1,5.29,5.29,5.29,0
host,communication,AivKernel,2842.54,134,21.213,17.3,46.95,11.525
host,acl,ArgMaxV2_Tiling,4.52,1,4.52,4.52,4.52,0
host,acl,BroadcastTo_Tiling,381.01,36,10.584,4.01,31.05,62.622
host,acl,Cast_Tiling,55.54,3,18.513,3.63,28.87,116.422
host,acl,IndexPutV2_Tiling,170.04,36,4.723,2.72,9.04,4.007
host,acl,Log_Tiling,7.32,1,7.32,7.32,7.32,0
host,acl,NonZero_Tiling,41.58,12,3.465,0.49,7.56,8.72
host,acl,OpType::ALLGATHER,6121.24,132,46.373,38.16,119.86,80.02
host,acl,OpType::BARRIER,92.2,2,46.1,44.82,47.38,1.638
host,acl,RealDiv_Tiling,4.84,1,4.84,4.84,4.84,0
host,acl,RopeWithSinCosCache_Tiling,449.99,34,13.235,0.32,34.45,170.886
host,acl,Slice_Tiling,335.61,16,20.976,12.62,38.94,53.871
host,acl,Sub_Tiling,14.45,1,14.45,14.45,14.45,0
host,acl,aclmdlRICaptureGetInfo,419.41,959,0.437,0.15,14.31,0.377
host,acl,aclmdlRICaptureTaskUpdateBegin,127.39,114,1.117,0.84,3.39,0.136
host,acl,aclmdlRICaptureTaskUpdateEnd,136.64,114,1.199,0.94,2.68,0.092
host,acl,aclmdlRIExecuteAsync,285.79,18,15.877,14.74,19.98,1.297
host,acl,aclnnAdd,609.07,57,10.685,8.12,18.55,4.741
host,acl,aclnnAdds,313.33,30,10.444,8.25,13.63,2.379
host,acl,aclnnAny,13.53,1,13.53,13.53,13.53,0
host,acl,aclnnArange,353.98,36,9.833,7.47,14.26,2.325
host,acl,aclnnArgMax,169.04,12,14.087,13.08,15.36,0.331
host,acl,aclnnBitwiseAndTensor,34.36,4,8.59,7.9,9.05,0.202
host,acl,aclnnBitwiseNot,17.32,2,8.66,8.32,9,0.116
host,acl,aclnnBitwiseOrTensor,19.04,2,9.52,9.43,9.61,0.008
host,acl,aclnnCat,651.75,61,10.684,8.4,15.27,1.512
host,acl,aclnnCatGetWorkspaceSize,39.2,2,19.6,17.43,21.77,4.709
host,acl,aclnnClamp,63.1,6,10.517,9.6,11.85,0.805
host,acl,aclnnCumsum,192.36,3,64.12,36.98,84.84,402.371
host,acl,aclnnCumsumGetWorkspaceSize,104.71,3,34.903,31.99,37.08,4.589
host,acl,aclnnEmbedding,22.55,2,11.275,10.74,11.81,0.286
host,acl,aclnnFloorDivides,714.13,51,14.003,7.36,23.52,23.311
host,acl,aclnnForeachCopy,540.41,30,18.014,13.5,25.61,12.317
host,acl,aclnnForeachCopyGetWorkspaceSize,292.71,30,9.757,7.13,14.34,5.668
host,acl,aclnnGather,61.63,6,10.272,9.5,11.04,0.252
host,acl,aclnnGeScalar,92.68,10,9.268,8.21,10.06,0.308
host,acl,aclnnGemmaRmsNorm,534.19,38,14.058,10.59,27.36,9.244
host,acl,aclnnGemmaRmsNormGetWorkspaceSize,479.04,38,12.606,7.83,26.96,9.823
host,acl,aclnnGtScalar,706.97,49,14.428,12.62,19.07,1.79
host,acl,aclnnIndex,1860,132,14.091,1.7,22.22,18.286
host,acl,aclnnIndexPutImpl,3243.23,85,38.156,25.54,85.62,207.177
host,acl,aclnnIndexPutImplGetWorkspaceSize,1320.36,36,36.677,27.48,100.11,153.095
host,acl,aclnnInnerFusedInferAttentionScore,3222.09,131,24.596,19.54,44.02,26.227
host,acl,aclnnInnerFusedInferAttentionScoreGetWorkspaceSize,1532.16,131,11.696,7.56,23.6,19.318
host,acl,aclnnInplaceCopy,5811.46,591,9.833,1.78,26.21,3.855
host,acl,aclnnInplaceCopyGetWorkspaceSize,1575.35,127,12.404,5.49,25.92,12.573
host,acl,aclnnInplaceDiv,9.86,1,9.86,9.86,9.86,0
host,acl,aclnnInplaceFillScalar,709.42,93,7.628,1.04,22.39,15.978
host,acl,aclnnInplaceMaskedFillScalar,18.03,2,9.015,8.82,9.21,0.038
host,acl,aclnnInplaceMul,149.68,17,8.805,7.8,9.84,0.247
host,acl,aclnnInplaceOne,120.02,14,8.573,7.23,11.61,1.194
host,acl,aclnnInplaceZero,788.05,78,10.103,8.53,15.72,1.472
host,acl,aclnnLtScalar,37.85,4,9.462,8.09,11.1,1.546
host,acl,aclnnMatmul,3457.88,311,11.119,8.23,20.31,1.932
host,acl,aclnnMax,51.39,4,12.848,9.52,17.17,10.371
host,acl,aclnnMaxDim,14.89,1,14.89,14.89,14.89,0
host,acl,aclnnMul,28.06,2,14.03,13.94,14.12,0.008
host,acl,aclnnMuls,175.51,16,10.969,8.15,18.24,7.461
host,acl,aclnnMultinomial,245.31,1,245.31,245.31,245.31,0
host,acl,aclnnMultinomialGetWorkspaceSize,82.84,1,82.84,82.84,82.84,0
host,acl,aclnnNeTensor,55.28,6,9.213,8.81,9.65,0.07
host,acl,aclnnNonzeroV2,160186,6,26697.667,22103.9,35904.4,24039828.283
host,acl,aclnnNonzeroV2GetWorkspaceSize,203.82,6,33.97,32.1,38.37,4.634
host,acl,aclnnReduceSum,18.7,1,18.7,18.7,18.7,0
host,acl,aclnnRepeat,242.63,24,10.11,8.94,13.6,1.025
host,acl,aclnnRepeatInterleaveIntWithDim,63.99,6,10.665,9.64,11.31,0.352
host,acl,aclnnRepeatInterleaveIntWithDimGetWorkspaceSize,101.44,6,16.907,16.06,19.32,1.213
host,acl,aclnnRopeWithSinCosCacheV2,1138.11,17,66.948,29.9,86.49,146.265
host,acl,aclnnRopeWithSinCosCacheV2GetWorkspaceSize,1535.64,17,90.332,68.63,111.15,71.674
host,acl,aclnnSWhere,67.22,7,9.603,8.63,11.9,0.994
host,acl,aclnnScatterNdUpdate,471.79,34,13.876,11.47,16.9,2.155
host,acl,aclnnSigmoid,147.27,17,8.663,7.68,10.2,0.501
host,acl,aclnnSoftmax,22.17,2,11.085,10.8,11.37,0.081
host,acl,aclnnSub,203.62,22,9.255,8.12,11.68,0.998
host,acl,aclnnSubs,306.79,32,9.587,8.15,12.11,0.743
host,acl,aclnnSwiGlu,1010.62,65,15.548,13.12,20.67,1.693
host,acl,aclnnSwiGluGetWorkspaceSize,881.26,65,13.558,12.07,19.01,1.188
host,acl,aclrtCreateEventExWithFlag,1110.95,307,3.619,1.21,10.68,3.64
host,acl,aclrtDestroyEvent,589.8,307,1.921,0.46,27.93,11.258
host,acl,aclrtFree,177.97,60,2.966,1.89,4.77,0.177
host,acl,aclrtGetCurrentContext,101.22,190,0.533,0.24,2.27,0.112
host,acl,aclrtGetHardwareSyncAddr,24.77,46,0.538,0.4,0.82,0.012
host,acl,aclrtGetOpTimeOutInterval,81.6,134,0.609,0.44,1.38,0.018
host,acl,aclrtGetResInCurrentThread,694.31,1058,0.656,0.15,2.87,0.361
host,acl,aclrtGetStreamAttribute,648.25,2123,0.305,0.22,1.31,0.004
host,acl,aclrtLaunchKernelWithHostArgs,14919.05,2525,5.909,2.08,30.26,5.585
host,acl,aclrtMalloc,443.42,60,7.39,3.19,16.03,3.32
host,acl,aclrtMemcpy,1241.3,31,40.042,31.77,116.81,207.112
host,acl,aclrtMemcpyAsync,313414.9,192,1632.369,4.3,311704.33,503375028.189
host,acl,aclrtQueryEventStatus,446.04,285,1.565,0.35,8.84,2.214
host,acl,aclrtRandomNumAsync,46.23,1,46.23,46.23,46.23,0
host,acl,aclrtRecordEvent,4419.17,535,8.26,3.25,43.14,10.655
host,acl,aclrtSetCurrentContext,78.02,112,0.697,0.27,2.24,0.122
host,acl,aclrtSetDevice,519.24,18,28.847,23.77,51.79,37.61
host,acl,aclrtStreamGetId,49.07,134,0.366,0.28,0.9,0.004
host,acl,aclrtStreamWaitEvent,1650.66,300,5.502,1.33,14.51,1.778
host,acl,aclrtSynchronizeDeviceWithTimeout,44.38,1,44.38,44.38,44.38,0
host,acl,aclrtSynchronizeEvent,26.85,7,3.836,2.16,12.8,13.411
host,acl,aclrtSynchronizeStream,181236.1,27,6712.448,3.93,35799.88,134556762.046
host,acl,aclrtSynchronizeStreamWithTimeout,31693.86,41,773.021,2.14,31521.77,23637144.409
host,acl,aclrtValueWrite,578.91,114,5.078,4.18,11.51,1.533
host,node,launch,188089.35,3302,56.962,2.6,35846.27,1331022.25
